Instrumento	Codigo
AUDCAD		acd
AUDCHF		acf
AUDJPY		aj
AUDNZD		an
AUDUSD		au
CADCHF		ccf
CADJPY		cdj
CHFJPY		cfj
EURAUD		eau
EURCAD		ecd
EURCHF		ecf
EURGBP		eg
EURJPY		ej
EURMXN		emx
EURNOK		eno
EURNZD		en
EURSEK		ese
EURSGD		esg
EURTRY		etr
EURUSD		eu
GBPAUD		gau
GBPCAD		gcd
GBPCHF		gcf
GBPJPY		gj
GBPMXN		gmx
GBPNOK		gno
GBPNZD		gn
GBPSEK		gse
GBPTRY		gtr
GBPUSD		gu
NZDCAD		ncd
NZDCHF		ncf
NZDJPY		nj
NZDUSD		nu
USDCAD		ucd
USDCHF		ucf
USDHKD		uhk
USDJPY		uj
USDMXN		umx
USDNOK		uno
USDSEK		use
USDSGD		usg
USDTRY		utr
XAGUSD		xagu
XAUUSD		xuu
XBNUSD		xnu
XBTUSD		xbtu
XETUSD		xetu
XLCUSD		xcu
XNGUSD		xngu
XPDUSD		xdu
XPTUSD		xtu
XRPUSD		xpu
XTIUSD		xiu
